locale_idlocale,locale_idcity,locale_capital,locale_idcountry,locale_ac,locale_country,locale_uf,locale_city,locale_region,locale_seaside,locale_latitude,locale_longitude,locale_tourist,locale_agricultural,locale_base,weather_id,weather_name,weather_date,weather_dayWeek,weather_dateUpdate,weather_temperature,weather_windVelocity,weather_windDirection,weather_windDirectionDegrees,weather_humidity,weather_condition,weather_pressure,weather_icon,weather_sensation,weather_slugCondition
6700,4232,False,7,BR,Brasil,PR,Campina Grande do Sul,S,False,-25.306,-49.055,False,False,cities,6700,Campina Grande do Sul,09/09/2026,Quarta-feira,10:24:00,13,4,E,81,67,Chuva e trovoadas,1019,6,12,chuva-e-trovoadas
6698,2815,False,7,BR,Brasil,PR,Campina da Lagoa,S,False,-24.592,-52.799,False,False,cities,6698,Campina da Lagoa,09/09/2026,Quarta-feira,10:24:00,17,8,ENE,66,77,Nublado,1017,3,16,nublado
6699,4233,False,7,BR,Brasil,PR,Campina do Simão,S,False,-25.079,-51.827,False,False,cities,6699,Campina do Simão,09/09/2026,Quarta-feira,11:09:00,14,4,ENE,61,67,Nublado,1018,3,13,nublado
6701,2816,False,7,BR,Brasil,PR,Campo Bonito,S,False,-25.031,-52.992,False,False,cities,6701,Campo Bonito,09/09/2026,Quarta-feira,10:24:00,15,8,ENE,63,70,Nublado,1017,3,14,nublado
6703,1306,False,7,BR,Brasil,PR,Campo Largo,S,False,-25.459,-49.528,False,False,cities,6703,Campo Largo,09/09/2026,Quarta-feira,10:24:00,15,2,ENE,76,67,Chuvoso,1019,5,14,chuvoso
6704,4234,False,7,BR,Brasil,PR,Campo Magro,S,False,-25.369,-49.451,False,False,cities,6704,Campo Magro,09/09/2026,Quarta-feira,11:09:00,14,3,ENE,78,67,Chuvoso,1019,5,13,chuvoso
6705,267,False,7,BR,Brasil,PR,Campo Mourão,S,False,-24.046,-52.383,False,True,cities,6705,Campo Mourão,09/09/2026,Quarta-feira,10:24:00,17,10,ENE,71,77,Nublado,1017,3,16,nublado
6702,4235,False,7,BR,Brasil,PR,Campo do Tenente,S,False,-25.978,-49.683,False,False,cities,6702,Campo do Tenente,09/09/2026,Quarta-feira,11:09:00,13,2,ENE,73,69,Nublado,1017,3,12,nublado
6707,2817,False,7,BR,Brasil,PR,Candói,S,False,-25.572,-52.056,False,False,cities,6707,Candói,09/09/2026,Quarta-feira,10:24:00,15,3,ENE,60,68,Nublado,1016,3,14,nublado
6708,2818,False,7,BR,Brasil,PR,Cantagalo,S,False,-25.374,-52.126,False,False,cities,6708,Cantagalo,09/09/2026,Quarta-feira,10:24:00,16,3,ENE,60,72,Nublado,1015,3,16,nublado
6709,2820,False,7,BR,Brasil,PR,Capanema,S,False,-25.672,-53.809,False,False,cities,6709,Capanema,09/09/2026,Quarta-feira,10:24:00,18,5,ENE,61,77,Nublado,1016,3,18,nublado
6710,2819,False,7,BR,Brasil,PR,Capitão Leônidas Marques,S,False,-25.479,-53.614,False,False,cities,6710,Capitão Leônidas Marques,09/09/2026,Quarta-feira,10:24:00,18,6,ENE,61,77,Nublado,1016,3,18,nublado
6711,4113,False,7,BR,Brasil,PR,Carambeí,S,False,-24.918,-50.097,False,True,cities,6711,Carambeí,09/09/2026,Quarta-feira,11:09:00,15,2,ENE,76,64,Nublado,1018,3,14,nublado
6712,4145,False,7,BR,Brasil,PR,Carlópolis,S,False,-23.425,-49.721,False,False,cities,6712,Carlópolis,09/09/2026,Quarta-feira,10:24:00,18,5,E,90,78,Chuvoso,1018,5,18,chuvoso
6713,268,False,7,BR,Brasil,PR,Cascavel,S,False,-24.956,-53.455,False,True,cities,6713,Cascavel,09/09/2026,Quarta-feira,10:24:00,17,11,NE,50,68,Nublado,1017,3,15,nublado
3357,269,False,7,BR,Brasil,PR,Castro,S,False,-24.791,-50.012,False,True,cities,3357,Castro,09/09/2026,Quarta-feira,11:09:00,14,3,ENE,78,64,Nublado,1018,3,13,nublado
6714,2821,False,7,BR,Brasil,PR,Catanduvas,S,False,-25.203,-53.157,False,False,cities,6714,Catanduvas,09/09/2026,Quarta-feira,11:09:00,16,7,ENE,62,69,Nublado,1017,3,15,nublado
3214,3421,False,7,BR,Brasil,PR,Centenário do Sul,S,False,-22.821,-51.595,False,False,cities,3214,Centenário do Sul,09/09/2026,Quarta-feira,11:09:00,18,8,E,90,81,Chuvoso,1017,5,18,chuvoso
6715,4237,False,7,BR,Brasil,PR,Cerro Azul,S,False,-24.824,-49.261,False,False,cities,6715,Cerro Azul,09/09/2026,Quarta-feira,11:09:00,12,4,E,82,69,Nublado,1019,3,11,nublado
6717,2822,False,7,BR,Brasil,PR,Chopinzinho,S,False,-25.856,-52.523,False,False,cities,6717,Chopinzinho,09/09/2026,Quarta-feira,10:24:00,15,2,ENE,59,67,Nublado,1016,3,15,nublado
6718,270,False,7,BR,Brasil,PR,Cianorte,S,False,-23.663,-52.605,False,False,cities,6718,Cianorte,09/09/2026,Quarta-feira,10:24:00,18,12,ENE,74,81,Nublado,1017,3,18,nublado
6719,3349,False,7,BR,Brasil,PR,Cidade Gaúcha,S,False,-23.38,-52.945,False,False,cities,6719,Cidade Gaúcha,09/09/2026,Quarta-feira,10:24:00,20,9,N,358,82,Nublado,1016,3,20,nublado
6720,2823,False,7,BR,Brasil,PR,Clevelândia,S,False,-26.396,-52.471,False,False,cities,6720,Clevelândia,09/09/2026,Quarta-feira,10:24:00,15,2,ENE,59,62,Nublado,1017,3,14,nublado
6721,1307,False,7,BR,Brasil,PR,Colombo,S,False,-25.292,-49.224,False,False,cities,6721,Colombo,09/09/2026,Quarta-feira,10:24:00,14,4,E,80,67,Chuvoso,1019,5,12,chuvoso
3249,3509,False,7,BR,Brasil,PR,Colorado,S,False,-22.837,-51.973,False,False,cities,3249,Colorado,09/09/2026,Quarta-feira,10:24:00,18,10,E,82,81,Chuvoso,1017,5,17,chuvoso
6722,2824,False,7,BR,Brasil,PR,Congonhinhas,S,False,-23.551,-50.554,False,False,cities,6722,Congonhinhas,09/09/2026,Quarta-feira,11:09:00,17,7,E,83,74,Chuvoso,1018,5,16,chuvoso
3180,3323,False,7,BR,Brasil,PR,Conselheiro Mairinck,S,False,-23.63,-50.169,False,False,cities,3180,Conselheiro Mairinck,09/09/2026,Quarta-feira,10:24:00,17,7,E,83,77,Chuvoso,1018,5,16,chuvoso
6723,4238,False,7,BR,Brasil,PR,Contenda,S,False,-25.676,-49.535,False,True,cities,6723,Contenda,09/09/2026,Quarta-feira,10:24:00,14,2,ENE,75,68,Nublado,1019,3,14,nublado
6724,2825,False,7,BR,Brasil,PR,Corbélia,S,False,-24.799,-53.307,False,True,cities,6724,Corbélia,09/09/2026,Quarta-feira,11:09:00,17,10,ENE,65,73,Nublado,1017,3,16,nublado
6725,1308,False,7,BR,Brasil,PR,Cornélio Procópio,S,False,-23.181,-50.647,False,True,cities,6725,Cornélio Procópio,09/09/2026,Quarta-feira,10:24:00,17,6,E,90,80,Chuvoso,1018,5,17,chuvoso
